Country,Name,Description
Afghanistan,"Tazkira
(Afghan identity card)",The Tazkira is an electronic ID card issued to a citizen of Afghanistan.[3]
Albania,"Letërnjoftimi
(Albanian Identity Card)","The Letërnjoftimi is an electronic biometric ID card, compulsory upon 16 years old and costs 1200 lekë (€10)."
Algeria,بطاقة الهوية الوطنية/ Carte nationale d’identité (Algerian National Identity card),"The Algerian national identity card is an electronic biometric ID card, compulsory for all Algerian nationals and costs 2500 Algerian Dinar."
Angola,Bilhete de identidade de cidadão nacional (national citizen identity card),"The Angolan national identity is compulsory. It contains the person's name, date of birth, date and place of issue, validity, filiation, photo, marital status, fingerprint of the citizen's right indicator, a signature and address. Nevertheless, more than 12 million Angolans do not possess a national identity card.[4]"
Antigua and Barbuda,Electoral National Identification card,The Antiguan and Barbudan national identity card is compulsory for voting as well as for different government transactions.
Argentina,"Documento Nacional de Identidad (DNI)
(National Identity Card)","The Documento Nacional de Identidad (DNI) is issued at a person's birth, and updated at 8 and 14 years of age, and thereafter renewed every fifteen years.[5] For many years, the DNI was issued as a small booklet (libreta). In 2009, the DNI was revamped and digitalized; and booklets were issued along with a card (tarjeta) simultaneously. Since 2012, DNIs are issued only in card format, and starting in 2015, they'll have a chip with information of the holder and NFC payment. The new DNI card is required to obtain a new Argentine passport and there are penalties if they aren't renewed in time."
Azerbaijan,"Şəxsiyyət vəsiqəsi
(Azerbaijan Identity Card)","The Şəxsiyyət vəsiqəsi is an ID card, compulsory upon 16 years old and costs 5 manats (€2,5). It is not compulsory to carry it at all time."
Bahrain,Central Popular Registration (CPR),"Central Population Register (CPR) is a nine digit (all numeric) identification number which is also called as personal number issued for all the residents living in Bahrain. In order to avail basic or any services, carry out financial transactions one must have CPR."
Bangladesh,"National identity card (NID-Card)
জাতীয় পরিচয়পত্র","""National Identity"" (NID) card is a compulsory electronic biometric identification for all citizens at the age of 18 and above.[6] All Bangladeshis are issued with an NID Card which is mandatory to obtain a Passport, Driving Licence, credit card, and to register land ownership, SIM Card, various allowance provided through Social Welfare Division of Bangladeshi Government etc. Moreover, Each citizen of Bangladesh is directed to have ""Birth Registration Certificate"" (BRC) immediately after birth. BRC is mandatory for obtaining NID and usually protect the identity of minors who are not eligible for NID due to age restriction."
Belarus,Нацыянальная ідэнтыфікацыйная карта (Belarus national identity card (since 2021)),Belarus has combined the international passport and the internal passport into one document. It follows the international passport convention but has extra pages for domestic use. The Belarusian passport is compulsory at 14. Reissued every 10 years. Could be issued before 14 for travelling purposes. New biometric identity cards were rolled out in 2021.
Belgium,Identiteitskaart / Carte d’Identité / Personalausweis (Identity Card),"The card is first issued at age 12, compulsory by 15. Since the beginning of 2005 the eID (electronic IDentity card) has been issued to Belgian citizens who apply for a new identity card. Apart from being a form of identification, the card also is used for authentication purposes. Future usages include using the eID as a library card, keycard for restricted areas or chatrooms and the digital signing of documents. It is expected that in 2009 all Belgians will have an eID card.[7][8] They have to be carried at all times."
Benin,Carte nationale d'identité (National identity card),Compulsory. Biometric since 2016.[9]
Bhutan,Bhutan citizenship card,"The Bhutanese national identity card is an electronic ID card, compulsory for all Bhutanese nationals and costs 100 Bhutanese ngultrum."
Bolivia,Cédula de identidad (Identity Card),"Compulsory at 18, but rarely required by police."
Bosnia and Herzegovina,Lična Karta / Osobna iskaznica (Identity Card),Compulsory at 16 and is to be carried at all times after turning 18.
